 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Flutter Mane       | 44.22131% | 211770 | 42.955% | 95300  | 41.257% | 
 | 2    | Incineroar         | 42.39785% | 213701 | 43.346% | 120157 | 52.018% | 
 | 3    | Raging Bolt        | 38.27496% | 170685 | 34.621% | 69224  | 29.969% | 
 | 4    | Ogerpon-Wellspring | 36.60058% | 172381 | 34.965% | 88021  | 38.106% | 
 | 5    | Landorus           | 29.71835% | 130839 | 26.539% | 62051  | 26.863% | 
 | 6    | Rillaboom          | 28.18104% | 134343 | 27.250% | 67189  | 29.088% | 
 | 7    | Urshifu-Rapid-Strike | 26.95356% | 127963 | 25.955% | 68368  | 29.598% | 
 | 8    | Chien-Pao          | 23.21530% | 100214 | 20.327% | 48254  | 20.890% | 
 | 9    | Tornadus           | 20.60335% | 101978 | 20.685% | 30849  | 13.355% | 
 | 10   | Urshifu            | 20.10623% | 89544  | 18.163% | 45159  | 19.550% | 
 | 11   | Amoonguss          | 17.26292% | 82342  | 16.702% | 37461  | 16.218% | 
 | 12   | Farigiraf          | 16.53723% | 87074  | 17.662% | 32136  | 13.912% | 
 | 13   | Ogerpon-Hearthflame | 15.39193% | 69603  | 14.118% | 34815  | 15.072% | 
 | 14   | Gouging Fire       | 11.65549% | 51465  | 10.439% | 21217  |  9.185% | 
 | 15   | Gholdengo          | 10.57680% | 50253  | 10.193% | 19793  |  8.569% | 
 | 16   | Ursaluna-Bloodmoon |  8.44674% | 40567  |  8.228% | 23323  | 10.097% | 
 | 17   | Indeedee-F         |  8.22526% | 39113  |  7.934% | 17949  |  7.770% | 
 | 18   | Kingambit          |  8.19182% | 40799  |  8.275% | 16970  |  7.347% | 
 | 19   | Torkoal            |  8.16388% | 42392  |  8.599% | 23333  | 10.101% | 
 | 20   | Arcanine-Hisui     |  7.93986% | 38657  |  7.841% | 19831  |  8.585% | 
 | 21   | Dragonite          |  7.79731% | 34136  |  6.924% | 16533  |  7.157% | 
