| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Incineroar         | 49.10628% | 213701 | 43.346% | 120157 | 52.018% | 
 | 2    | Flutter Mane       | 48.57203% | 211770 | 42.955% | 95300  | 41.257% | 
 | 3    | Raging Bolt        | 46.67173% | 170685 | 34.621% | 69224  | 29.969% | 
 | 4    | Ogerpon-Wellspring | 36.28546% | 172381 | 34.965% | 88021  | 38.106% | 
 | 5    | Urshifu-Rapid-Strike | 32.62147% | 127963 | 25.955% | 68368  | 29.598% | 
 | 6    | Rillaboom          | 29.44540% | 134343 | 27.250% | 67189  | 29.088% | 
 | 7    | Landorus           | 29.39935% | 130839 | 26.539% | 62051  | 26.863% | 
 | 8    | Chien-Pao          | 29.10648% | 100214 | 20.327% | 48254  | 20.890% | 
 | 9    | Amoonguss          | 26.25836% | 82342  | 16.702% | 37461  | 16.218% | 
 | 10   | Urshifu            | 21.13176% | 89544  | 18.163% | 45159  | 19.550% | 
 | 11   | Ogerpon-Hearthflame | 20.65759% | 69603  | 14.118% | 34815  | 15.072% | 
 | 12   | Tornadus           | 20.37825% | 101978 | 20.685% | 30849  | 13.355% | 
 | 13   | Dondozo            | 12.70666% | 25005  |  5.072% | 12655  |  5.479% | 
 | 14   | Gouging Fire       | 11.41449% | 51465  | 10.439% | 21217  |  9.185% | 
 | 15   | Gholdengo          | 11.38770% | 50253  | 10.193% | 19793  |  8.569% | 
 | 16   | Roaring Moon       | 10.57503% | 19577  |  3.971% | 8161   |  3.533% | 
 | 17   | Dragonite          | 10.57305% | 34136  |  6.924% | 16533  |  7.157% | 
 | 18   | Farigiraf          | 10.31512% | 87074  | 17.662% | 32136  | 13.912% | 
 | 19   | Glimmora           |  9.41372% | 26389  |  5.353% | 11944  |  5.171% | 
 | 20   | Ting-Lu            |  9.05292% | 29451  |  5.974% | 14117  |  6.112% | 
 | 21   | Iron Hands         |  8.41058% | 33948  |  6.886% | 16262  |  7.040% | 
 | 22   | Chi-Yu             |  6.26854% | 30168  |  6.119% | 15282  |  6.616% | 
 | 23   | Kingambit          |  5.90505% | 40799  |  8.275% | 16970  |  7.347% | 
 | 24   | Arcanine-Hisui     |  5.71918% | 38657  |  7.841% | 19831  |  8.585% | 
 | 25   | Tatsugiri          |  5.70449% | 12794  |  2.595% | 7651   |  3.312% | 
 | 26   | Ursaluna-Bloodmoon |  5.65988% | 40567  |  8.228% | 23323  | 10.097% | 
 | 27   | Ninetales-Alola    |  5.37490% | 37639  |  7.635% | 18336  |  7.938% | 
 | 28   | Landorus-Therian   |  4.50997% | 20037  |  4.064% | 10428  |  4.514% | 
 | 29   | Volcarona          |  4.23187% | 15647  |  3.174% | 5724   |  2.478% | 
 | 30   | Indeedee-F         |  4.21237% | 39113  |  7.934% | 17949  |  7.770% | 
 | 31   | Ursaluna           |  4.05970% | 23659  |  4.799% | 12342  |  5.343% | 
 | 32   | Articuno           |  4.02804% | 22921  |  4.649% | 12332  |  5.339% | 
 | 33   | Entei              |  3.99424% | 19532  |  3.962% | 9992   |  4.326% | 
 | 34   | Torkoal            |  3.83905% | 42392  |  8.599% | 23333  | 10.101% | 
 | 35   | Porygon2           |  3.82812% | 15782  |  3.201% | 7314   |  3.166% | 
 | 36   | Archaludon         |  3.15715% | 29632  |  6.010% | 15719  |  6.805% | 
