 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 46.35007% | 1464079 | 46.350% | 714970 | 49.666% | 
 | 2    | Urshifu-Rapid-Strike | 34.73744% | 1097266 | 34.737% | 546150 | 37.939% | 
 | 3    | Tornadus           | 32.87093% | 1038308 | 32.871% | 296989 | 20.631% | 
 | 4    | Amoonguss          | 24.65811% | 778886 | 24.658% | 302392 | 21.006% | 
 | 5    | Chien-Pao          | 24.41133% | 771091 | 24.411% | 384524 | 26.711% | 
 | 6    | Heatran            | 20.48322% | 647012 | 20.483% | 303748 | 21.100% | 
 | 7    | Iron Hands         | 20.10943% | 635205 | 20.109% | 344724 | 23.947% | 
 | 8    | Rillaboom          | 19.40136% | 612839 | 19.401% | 287019 | 19.938% | 
 | 9    | Landorus-Therian   | 16.84775% | 532177 | 16.848% | 280647 | 19.495% | 
 | 10   | Cresselia          | 16.37468% | 517234 | 16.375% | 211909 | 14.720% | 
 | 11   | Dragonite          | 15.17332% | 479286 | 15.173% | 218086 | 15.150% | 
 | 12   | Ursaluna           | 14.89137% | 470380 | 14.891% | 254832 | 17.702% | 
 | 13   | Gholdengo          | 12.65573% | 399762 | 12.656% | 184925 | 12.846% | 
 | 14   | Chi-Yu             | 11.50996% | 363570 | 11.510% | 177250 | 12.313% | 
 | 15   | Grimmsnarl         | 10.59336% | 334617 | 10.593% | 150711 | 10.469% | 
 | 16   | Urshifu            |  9.59566% | 303102 |  9.596% | 164418 | 11.421% | 
 | 17   | Indeedee-F         |  9.46317% | 298917 |  9.463% | 120370 |  8.362% | 
 | 18   | Goodra-Hisui       |  8.98772% | 283899 |  8.988% | 138324 |  9.609% | 
 | 19   | Thundurus          |  8.33724% | 263352 |  8.337% | 90582  |  6.292% | 
 | 20   | Torkoal            |  8.15534% | 257606 |  8.155% | 136619 |  9.490% | 
 | 21   | Regieleki          |  7.33121% | 231574 |  7.331% | 88693  |  6.161% | 
 | 22   | Iron Bundle        |  7.28198% | 230019 |  7.282% | 103674 |  7.202% | 
 | 23   | Arcanine-Hisui     |  6.79464% | 214625 |  6.795% | 110256 |  7.659% | 
 | 24   | Gastrodon          |  6.21972% | 196465 |  6.220% | 86365  |  5.999% | 
 | 25   | Basculegion        |  5.64794% | 178404 |  5.648% | 96930  |  6.733% | 
 | 26   | Armarouge          |  5.52166% | 174415 |  5.522% | 83736  |  5.817% | 
 | 27   | Annihilape         |  5.04980% | 159510 |  5.050% | 79191  |  5.501% | 
 | 28   | Arcanine           |  5.03184% | 158943 |  5.032% | 71188  |  4.945% | 
 | 29   | Pelipper           |  4.90170% | 154832 |  4.902% | 72677  |  5.049% | 
 | 30   | Farigiraf          |  4.85735% | 153431 |  4.857% | 47129  |  3.274% | 
 | 31   | Moltres-Galar      |  4.70792% | 148711 |  4.708% | 63115  |  4.384% | 
 | 32   | Lilligant-Hisui    |  4.67594% | 147701 |  4.676% | 55349  |  3.845% | 
 | 33   | Dondozo            |  4.45947% | 140863 |  4.459% | 76903  |  5.342% | 
 | 34   | Gyarados           |  4.42787% | 139865 |  4.428% | 66976  |  4.653% | 
 | 35   | Sneasler           |  4.15301% | 131183 |  4.153% | 61224  |  4.253% | 
 | 36   | Regidrago          |  3.94549% | 124628 |  3.945% | 65816  |  4.572% | 
 | 37   | Dragapult          |  3.85900% | 121896 |  3.859% | 58207  |  4.043% | 
 | 38   | Ting-Lu            |  3.78632% | 119600 |  3.786% | 51735  |  3.594% | 
 | 39   | Maushold           |  3.76327% | 118872 |  3.763% | 47081  |  3.271% | 
 | 40   | Kingambit          |  3.74380% | 118257 |  3.744% | 51230  |  3.559% | 
 | 41   | Tatsugiri          |  3.69046% | 116572 |  3.690% | 69462  |  4.825% | 
 | 42   | Zapdos             |  3.62090% | 114375 |  3.621% | 43147  |  2.997% | 
 | 43   | Kleavor            |  3.27805% | 103545 |  3.278% | 43936  |  3.052% | 
 | 44   | Landorus           |  3.14135% | 99227  |  3.141% | 45389  |  3.153% | 
 | 45   | Azumarill          |  2.99211% | 94513  |  2.992% | 48069  |  3.339% | 
 | 46   | Abomasnow          |  2.81964% | 89065  |  2.820% | 43563  |  3.026% | 
 | 47   | Enamorus-Therian   |  2.48482% | 78489  |  2.485% | 39818  |  2.766% | 
 | 48   | Roaring Moon       |  2.45563% | 77567  |  2.456% | 31025  |  2.155% | 
 | 49   | Baxcalibur         |  2.35166% | 74283  |  2.352% | 36149  |  2.511% | 
 | 50   | Enamorus           |  2.32754% | 73521  |  2.328% | 36078  |  2.506% | 
 | 51   | Volcarona          |  2.32665% | 73493  |  2.327% | 33005  |  2.293% | 
 | 52   | Palafin            |  2.31352% | 73078  |  2.314% | 39732  |  2.760% | 
 | 53   | Scizor             |  2.22905% | 70410  |  2.229% | 33028  |  2.294% | 
 | 54   | Glimmora           |  2.20648% | 69697  |  2.206% | 26575  |  1.846% | 
 | 55   | Garchomp           |  2.15507% | 68073  |  2.155% | 33407  |  2.321% | 
 | 56   | Spectrier          |  2.14449% | 67739  |  2.144% | 36802  |  2.556% | 
 | 57   | Tyranitar          |  2.10340% | 66441  |  2.103% | 33376  |  2.318% | 
 | 58   | Thundurus-Therian  |  2.00881% | 63453  |  2.009% | 31973  |  2.221% | 
 | 59   | Glastrier          |  2.00833% | 63438  |  2.008% | 33071  |  2.297% | 
 | 60   | Brute Bonnet       |  1.96762% | 62152  |  1.968% | 25920  |  1.801% | 
 | 61   | Zoroark-Hisui      |  1.95293% | 61688  |  1.953% | 21186  |  1.472% | 
 | 62   | Brambleghast       |  1.93938% | 61260  |  1.939% | 29146  |  2.025% | 
 | 63   | Hatterene          |  1.89541% | 59871  |  1.895% | 23333  |  1.621% | 
 | 64   | Typhlosion-Hisui   |  1.82535% | 57658  |  1.825% | 29927  |  2.079% | 
 | 65   | Mimikyu            |  1.81959% | 57476  |  1.820% | 22100  |  1.535% | 
 | 66   | Garganacl          |  1.76697% | 55814  |  1.767% | 25931  |  1.801% | 
 | 67   | Wo-Chien           |  1.71024% | 54022  |  1.710% | 24312  |  1.689% | 
